wdr,dissim,leven,is_bot
868,165,40,1
1,3,25,1
853,154,150,1
445,299,306,1
950,109,184,1
983,153,131,1
883,136,112,1
379,304,287,1
825,297,261,1
941,541,460,1
910,524,434,1
951,143,162,1
485,462,542,1
921,352,341,1
623,718,675,1
574,256,186,1
378,487,573,1
500,375,412,1
59,687,659,1
700,319,323,1
7,253,30,1
659,839,741,1
930,54,103,1
180,295,423,1
702,414,511,1
667,753,634,1
869,563,553,1
889,233,165,1
420,757,779,1
96,381,301,1
430,659,571,1
937,306,337,1
1020,22,17,1
549,561,616,1
993,255,358,1
683,441,367,1
226,940,885,1
494,564,508,1
901,251,315,1
77,888,710,1
606,406,343,1
909,349,484,1
325,418,293,1
605,766,693,1
111,771,831,1
799,89,68,1
814,700,686,1
492,789,826,1
93,748,656,1
442,321,284,1
1013,68,199,1
10,116,27,1
994,160,386,1
306,339,252,1
739,464,458,1
520,760,781,1
771,273,537,1
466,864,703,1
812,579,657,1
177,593,670,1
1002,334,642,1
619,712,745,1
318,799,746,1
945,178,115,1
715,48,71,1
75,511,452,1
578,830,699,1
959,544,600,1
381,450,451,1
331,556,758,1
117,90,130,1
646,598,497,1
960,73,58,1
972,35,20,1
782,308,640,1
824,915,864,1
456,636,554,1
944,442,579,1
804,338,399,1
1043,850,9,1
223,526,407,1
131,586,816,1
216,911,836,1
579,953,920,1
187,731,491,1
227,171,149,1
992,149,133,1
62,573,604,1
398,655,655,1
2,221,24,1
490,920,843,1
964,859,950,1
1046,94,2,1
829,966,983,1
397,420,543,1
848,152,98,1
689,108,159,1
527,480,329,1
139,665,587,1
598,77,101,1
143,81,90,1
789,404,506,1
833,750,705,1
470,802,916,1
769,519,356,1
564,115,164,1
599,616,683,1
123,542,626,1
341,209,183,1
750,727,689,1
477,728,730,1
188,242,483,1
903,166,114,1
871,318,231,1
962,345,263,1
1005,119,93,1
762,369,296,1
87,854,697,1
640,137,176,1
119,894,969,1
434,56,172,1
669,570,662,1
248,873,759,1
779,455,357,1
734,664,594,1
922,79,77,1
748,354,373,1
746,651,429,1
873,260,157,1
213,484,496,1
172,988,974,1
743,196,201,1
1047,21,14,1
386,645,821,1
487,348,397,1
395,325,317,1
718,448,478,1
479,522,540,1
418,976,941,1
48,983,824,1
612,518,476,1
342,660,818,1
603,395,767,1
836,220,208,1
624,451,366,1
414,774,835,1
408,180,136,1
1045,106,3,1
621,693,528,1
865,588,725,1
573,592,482,1
652,860,269,1
597,982,871,1
719,716,709,1
353,950,878,1
460,790,815,1
392,546,411,1
736,621,601,1
844,803,720,1
884,127,110,1
429,891,660,1
209,252,230,1
558,600,867,1
409,206,192,1
907,485,568,1
568,502,371,1
363,559,523,1
940,289,155,1
682,176,223,1
125,208,97,1
727,164,213,1
874,583,590,1
249,543,368,1
761,868,785,1
297,741,707,1
616,937,860,1
507,515,606,1
556,749,739,1
678,186,194,1
364,896,986,1
855,945,943,1
367,835,827,1
6,86,22,1
1040,111,8,1
691,678,499,1
933,301,266,1
105,805,610,1
25,465,33,1
698,686,747,1
435,1021,992,1
222,793,526,1
949,205,250,1
685,300,224,1
484,424,241,1
8,717,13,1
565,861,794,1
614,699,493,1
421,703,669,1
455,615,639,1
965,558,562,1
545,736,748,1
195,467,455,1
305,440,791,1
982,74,144,1
647,696,638,1
457,238,251,1
404,227,312,1
21,875,942,1
742,842,925,1
957,183,193,1
458,739,727,1
67,893,774,1
529,648,479,1
252,820,704,1
737,329,262,1
615,52,50,1
282,695,805,1
407,971,1008,1
506,512,549,1
371,984,909,1
27,1046,1038,1
645,927,968,1
627,505,534,1
149,979,861,1
334,833,954,1
284,492,561,1
557,423,324,1
481,393,518,1
145,973,970,1
130,604,913,1
360,547,529,1
154,658,620,1
127,694,437,1
636,503,273,1
515,624,667,1
349,725,749,1
37,163,23,1
842,367,646,1
818,439,801,1
309,972,921,1
732,311,297,1
416,804,817,1
735,216,336,1
234,1016,966,1
740,587,797,1
461,921,847,1
467,402,471,1
503,955,764,1
780,825,866,1
935,234,169,1
966,184,378,1
864,288,410,1
132,841,753,1
760,298,258,1
706,78,128,1
766,410,558,1
593,679,584,1
278,1043,1041,1
419,472,431,1
559,545,408,1
862,497,474,1
913,729,671,1
277,885,884,1
497,521,393,1
45,783,845,1
808,240,119,1
214,956,1009,1
929,197,160,1
281,837,918,1
1030,25,45,1
191,719,678,1
453,398,615,1
33,1015,1020,1
452,647,673,1
631,946,977,1
80,770,563,1
186,762,955,1
979,82,111,1
867,121,85,1
1039,5,209,1
633,776,723,1
755,435,387,1
288,388,334,1
1029,4,32,1
773,377,320,1
328,890,872,1
239,967,908,1
86,617,402,1
85,638,810,1
168,959,1025,1
133,932,782,1
304,470,503,1
136,928,859,1
311,509,754,1
783,633,469,1
212,632,557,1
336,337,264,1
561,452,897,1
671,902,869,1
721,142,116,1
42,582,589,1
194,411,443,1
129,517,464,1
704,844,822,1
100,584,987,1
905,523,422,1
775,303,416,1
643,634,569,1
454,673,440,1
314,140,141,1
410,394,444,1
1034,1,1,1
247,822,766,1
26,993,1028,1
648,155,473,1
625,150,253,1
511,525,585,1
512,810,819,1
1027,38,16,1
644,412,468,1
634,421,148,1
253,780,898,1
57,788,551,1
68,697,605,1
707,992,958,1
635,222,404,1
208,862,803,1
674,243,674,1
120,723,687,1
276,961,959,1
774,161,178,1
716,468,700,1
350,437,541,1
197,943,783,1
293,834,770,1
108,877,853,1
53,808,840,1
583,865,829,1
821,110,70,1
193,791,632,1
257,677,734,1
637,457,349,1
217,55,54,1
114,409,435,1
956,562,513,1
668,391,453,1
847,577,619,1
495,504,525,1
1024,9,28,1
582,746,894,1
638,653,442,1
602,433,370,1
221,167,221,1
79,744,653,1
900,191,222,1
263,396,421,1
586,384,321,1
567,172,153,1
95,948,952,1
1023,134,105,1
97,997,960,1
301,951,998,1
753,887,917,1
40,941,940,1
816,95,216,1
525,1025,994,1
999,291,418,1
650,755,772,1
344,1002,1029,1
225,692,715,1
1038,29,43,1
764,436,380,1
981,265,185,1
701,248,327,1
269,661,467,1
296,595,426,1
860,294,260,1
793,192,180,1
101,735,812,1
811,296,288,1
402,47,51,1
141,905,719,1
952,335,218,1
373,795,961,1
433,642,530,1
327,818,696,1
989,62,61,1
629,189,379,1
590,444,364,1
917,389,472,1
541,350,229,1
451,422,403,1
171,597,886,1
428,1004,981,1
828,477,500,1
841,179,348,1
632,351,502,1
1007,27,34,1
663,364,245,1
585,92,161,1
270,884,795,1
210,938,842,1
316,1005,1011,1
681,529,486,1
387,305,430,1
81,910,863,1
471,1034,1012,1
190,838,788,1
264,919,789,1
358,315,322,1
757,19,780,1
431,264,346,1
895,213,330,1
880,126,177,1
857,643,733,1
31,1009,1035,1
888,272,369,1
765,676,582,1
738,466,428,1
374,952,905,1
653,43,63,1
384,897,948,1
242,954,868,1
673,249,298,1
165,761,713,1
266,667,495,1
796,193,152,1
537,917,856,1
251,828,833,1
170,67,66,1
914,194,189,1
403,358,283,1
547,428,392,1
260,957,914,1
482,794,729,1
553,975,976,1
287,449,760,1
878,809,924,1
649,430,388,1
641,639,628,1
283,923,910,1
469,376,556,1
426,706,612,1
569,732,550,1
810,229,309,1
1003,344,377,1
697,720,515,1
23,871,828,1
155,443,904,1
321,901,784,1
630,370,462,1
4,557,76,1
496,758,962,1
974,254,200,1
333,107,79,1
54,266,286,1
1006,438,375,1
815,130,118,1
182,898,1010,1
508,701,906,1
51,1031,1023,1
340,747,762,1
890,118,207,1
587,217,204,1
687,244,198,1
730,132,94,1
401,811,852,1
159,899,778,1
39,930,738,1
710,188,168,1
906,324,413,1
690,322,533,1
274,869,763,1
20,743,621,1
717,500,489,1
337,734,695,1
980,42,39,1
851,613,888,1
684,102,127,1
185,530,761,1
476,491,211,1
809,459,374,1
725,576,524,1
693,446,463,1
238,689,507,1
758,219,240,1
1008,39,67,1
843,202,238,1
56,539,572,1
475,175,197,1
712,347,477,1
665,207,196,1
49,575,414,1
140,226,158,1
928,174,145,1
17,792,773,1
166,596,475,1
462,415,433,1
939,85,73,1
745,281,249,1
204,58,49,1
280,730,896,1
997,97,108,1
662,37,46,1
850,608,536,1
357,671,504,1
985,392,237,1
791,618,717,1
955,123,147,1
345,241,187,1
655,279,376,1
591,711,679,1
254,453,545,1
110,684,880,1
657,195,38,1
13,49,47,1
319,514,837,1
566,385,227,1
152,84,567,1
892,259,354,1
11,28,10,1
991,60,60,1
518,881,768,1
724,158,167,1
322,482,326,1
626,630,599,1
554,782,618,1
302,548,652,1
514,892,988,1
1017,40,87,1
60,813,716,1
169,763,728,1
18,815,939,1
694,824,702,1
776,473,340,1
427,904,957,1
219,488,498,1
584,607,636,1
521,626,690,1
339,560,724,1
886,650,454,1
1001,16,42,1
1042,400,6,1
813,218,344,1
998,112,56,1
76,934,1007,1
438,601,592,1
524,797,862,1
440,978,971,1
29,688,635,1
41,964,1022,1
971,185,202,1
792,24,126,1
875,36,31,1
977,355,448,1
406,958,901,1
308,908,875,1
859,368,242,1
763,623,597,1
666,366,332,1
819,610,694,1
113,926,985,1
1041,13,1043,1
377,343,294,1
542,611,512,1
382,10,29,1
52,478,65,1
163,31,517,1
205,292,295,1
866,668,384,1
124,1035,989,1
976,69,335,1
231,625,677,1
502,417,316,1
32,853,902,1
1025,23,18,1
517,590,608,1
509,640,684,1
908,454,575,1
61,627,661,1
677,328,360,1
899,147,166,1
272,994,964,1
858,138,140,1
786,397,272,1
447,798,714,1
896,117,214,1
211,552,830,1
1032,2,21,1
261,680,427,1
109,986,956,1
411,772,841,1
244,914,932,1
926,336,267,1
265,572,593,1
523,361,400,1
388,235,255,1
938,654,586,1
196,962,949,1
383,801,721,1
802,362,285,1
846,284,154,1
672,357,338,1
932,99,80,1
610,374,291,1
953,44,41,1
298,177,92,1
1022,210,142,1
300,125,132,1
153,212,179,1
526,821,947,1
797,426,424,1
849,66,100,1
64,18,718,1
230,181,173,1
538,432,449,1
708,726,735,1
98,751,742,1
201,312,234,1
728,356,319,1
902,373,289,1
310,50,48,1
661,30,1006,1
770,340,481,1
788,900,851,1
135,609,520,1
516,476,627,1
946,61,81,1
975,269,488,1
70,857,701,1
181,800,736,1
439,1008,979,1
291,599,609,1
675,742,577,1
618,342,307,1
346,1024,1027,1
942,225,383,1
540,320,302,1
595,685,645,1
696,408,279,1
144,912,889,1
199,840,834,1
752,326,485,1
826,589,415,1
530,199,181,1
596,495,514,1
36,363,89,1
936,1040,808,1
28,1023,1026,1
947,267,395,1
607,493,420,1
22,649,570,1
488,614,625,1
312,916,1015,1
82,1042,1034,1
904,567,654,1
548,471,560,1
355,781,698,1
356,447,595,1
47,666,622,1
664,204,281,1
893,323,304,1
1048,156,4,1
142,1011,1045,1
499,773,811,1
751,681,555,1
839,65,57,1
550,285,345,1
413,880,870,1
385,554,531,1
879,215,205,1
415,848,786,1
1026,341,35,1
332,532,352,1
528,708,823,1
330,644,676,1
192,1020,993,1
324,565,457,1
501,722,552,1
441,496,382,1
887,520,691,1
798,486,629,1
723,796,708,1
206,670,461,1
323,831,787,1
539,999,643,1
34,1036,1004,1
478,1037,990,1
756,672,832,1
834,463,445,1
934,856,874,1
856,236,170,1
16,1012,928,1
58,1038,1021,1
535,399,470,1
1033,540,7,1
396,814,846,1
229,631,459,1
9,133,771,1
1021,309,535,1
30,1017,991,1
255,553,611,1
444,733,637,1
175,475,318,1
576,230,156,1
807,580,685,1
200,1029,1018,1
299,775,980,1
425,637,544,1
107,490,396,1
658,656,744,1
38,858,848,1
733,419,350,1
83,819,922,1
313,879,951,1
464,380,740,1
121,947,944,1
162,974,965,1
417,602,649,1
5,620,15,1
1037,182,11,1
642,832,1014,1
1004,98,96,1
767,431,647,1
990,71,135,1
1044,6,12,1
66,333,228,1
794,224,203,1
1019,14,55,1
580,386,756,1
352,211,129,1
620,469,490,1
772,168,244,1
639,461,405,1
90,379,389,1
995,263,347,1
267,855,726,1
361,619,538,1
400,769,576,1
88,936,887,1
676,403,581,1
24,157,1046,1
285,425,650,1
961,64,278,1
885,262,280,1
931,87,113,1
183,657,865,1
370,1028,1032,1
491,456,466,1
84,998,953,1
611,622,633,1
898,103,236,1
391,228,212,1
897,141,311,1
785,282,257,1
405,122,83,1
744,713,522,1
368,918,938,1
594,534,409,1
692,159,107,1
446,170,139,1
577,458,398,1
544,139,78,1
832,145,333,1
1031,203,19,1
176,1026,1016,1
148,669,927,1
958,283,120,1
731,313,232,1
122,1018,967,1
138,778,731,1
787,498,268,1
161,924,1017,1
628,574,456,1
394,878,807,1
294,851,923,1
290,779,825,1
778,628,641,1
840,41,64,1
822,231,163,1
877,70,134,1
376,849,820,1
106,1019,926,1
613,501,663,1
984,105,122,1
463,330,381,1
354,585,566,1
784,980,138,1
827,104,265,1
498,714,607,1
711,715,712,1
759,745,624,1
531,765,743,1
472,690,644,1
600,721,666,1
369,944,899,1
275,724,631,1
118,942,596,1
465,913,891,1
563,784,682,1
688,173,308,1
714,382,510,1
552,990,978,1
831,257,546,1
522,286,331,1
158,72,137,1
943,327,282,1
863,550,417,1
474,847,839,1
987,489,630,1
768,652,757,1
510,346,339,1
347,707,664,1
891,11,274,1
468,162,220,1
207,886,802,1
504,922,930,1
1014,20,72,1
923,76,191,1
128,823,858,1
258,1007,975,1
1016,223,248,1
894,276,314,1
243,271,509,1
920,93,88,1
1009,57,75,1
726,989,936,1
852,198,233,1
575,568,574,1
881,662,225,1
292,63,37,1
560,827,751,1
754,317,259,1
805,113,109,1
115,571,390,1
790,114,117,1
393,581,617,1
519,777,893,1
184,635,480,1
604,120,106,1
986,129,95,1
224,427,44,1
156,846,883,1
443,214,188,1
72,429,603,1
609,101,123,1
215,996,873,1
173,807,732,1
73,535,401,1
359,200,151,1
151,1032,1037,1
126,812,806,1
963,629,972,1
588,603,648,1
1018,45,190,1
483,151,210,1
968,144,91,1
375,977,1031,1
102,756,668,1
489,939,814,1
424,995,935,1
174,1010,984,1
315,987,933,1
533,702,755,1
343,481,521,1
915,307,275,1
589,513,583,1
709,845,799,1
729,314,292,1
303,663,578,1
927,445,385,1
