wdr,dissim,leven
868,165,40
1,3,25
853,154,150
445,299,306
950,109,184
983,153,131
883,136,112
379,304,287
825,297,261
941,541,460
910,524,434
951,143,162
485,462,542
921,352,341
623,718,675
574,256,186
378,487,573
500,375,412
59,687,659
700,319,323
7,253,30
659,839,741
930,54,103
180,295,423
702,414,511
667,753,634
869,563,553
889,233,165
420,757,779
96,381,301
430,659,571
937,306,337
1020,22,17
549,561,616
993,255,358
683,441,367
226,940,885
494,564,508
901,251,315
77,888,710
606,406,343
909,349,484
325,418,293
605,766,693
111,771,831
799,89,68
814,700,686
492,789,826
93,748,656
442,321,284
1013,68,199
10,116,27
994,160,386
306,339,252
739,464,458
520,760,781
771,273,537
466,864,703
812,579,657
177,593,670
1002,334,642
619,712,745
318,799,746
945,178,115
715,48,71
75,511,452
578,830,699
959,544,600
381,450,451
331,556,758
117,90,130
646,598,497
960,73,58
972,35,20
782,308,640
824,915,864
456,636,554
944,442,579
804,338,399
1043,850,9
223,526,407
131,586,816
216,911,836
579,953,920
187,731,491
227,171,149
992,149,133
62,573,604
398,655,655
2,221,24
490,920,843
964,859,950
1046,94,2
829,966,983
397,420,543
848,152,98
689,108,159
527,480,329
139,665,587
598,77,101
143,81,90
789,404,506
833,750,705
470,802,916
769,519,356
564,115,164
599,616,683
123,542,626
341,209,183
750,727,689
477,728,730
188,242,483
903,166,114
871,318,231
962,345,263
1005,119,93
762,369,296
87,854,697
640,137,176
119,894,969
434,56,172
669,570,662
248,873,759
779,455,357
734,664,594
922,79,77
748,354,373
746,651,429
873,260,157
213,484,496
172,988,974
743,196,201
1047,21,14
386,645,821
487,348,397
395,325,317
718,448,478
479,522,540
418,976,941
48,983,824
612,518,476
342,660,818
603,395,767
836,220,208
624,451,366
414,774,835
408,180,136
1045,106,3
621,693,528
865,588,725
573,592,482
652,860,269
597,982,871
719,716,709
353,950,878
460,790,815
392,546,411
736,621,601
844,803,720
884,127,110
429,891,660
209,252,230
558,600,867
409,206,192
907,485,568
568,502,371
363,559,523
940,289,155
682,176,223
125,208,97
727,164,213
874,583,590
249,543,368
761,868,785
297,741,707
616,937,860
507,515,606
556,749,739
678,186,194
364,896,986
855,945,943
367,835,827
6,86,22
1040,111,8
691,678,499
933,301,266
105,805,610
25,465,33
698,686,747
435,1021,992
222,793,526
949,205,250
685,300,224
484,424,241
8,717,13
565,861,794
614,699,493
421,703,669
455,615,639
965,558,562
545,736,748
195,467,455
305,440,791
982,74,144
647,696,638
457,238,251
404,227,312
21,875,942
742,842,925
957,183,193
458,739,727
67,893,774
529,648,479
252,820,704
737,329,262
615,52,50
282,695,805
407,971,1008
506,512,549
371,984,909
27,1046,1038
645,927,968
627,505,534
149,979,861
334,833,954
284,492,561
557,423,324
481,393,518
145,973,970
130,604,913
360,547,529
154,658,620
127,694,437
636,503,273
515,624,667
349,725,749
37,163,23
842,367,646
818,439,801
309,972,921
732,311,297
416,804,817
735,216,336
234,1016,966
740,587,797
461,921,847
467,402,471
503,955,764
780,825,866
935,234,169
966,184,378
864,288,410
132,841,753
760,298,258
706,78,128
766,410,558
593,679,584
278,1043,1041
419,472,431
559,545,408
862,497,474
913,729,671
277,885,884
497,521,393
45,783,845
808,240,119
214,956,1009
929,197,160
281,837,918
1030,25,45
191,719,678
453,398,615
33,1015,1020
452,647,673
631,946,977
80,770,563
186,762,955
979,82,111
867,121,85
1039,5,209
633,776,723
755,435,387
288,388,334
1029,4,32
773,377,320
328,890,872
239,967,908
86,617,402
85,638,810
168,959,1025
133,932,782
304,470,503
136,928,859
311,509,754
783,633,469
212,632,557
336,337,264
561,452,897
671,902,869
721,142,116
42,582,589
194,411,443
129,517,464
704,844,822
100,584,987
905,523,422
775,303,416
643,634,569
454,673,440
314,140,141
410,394,444
1034,1,1
247,822,766
26,993,1028
648,155,473
625,150,253
511,525,585
512,810,819
1027,38,16
644,412,468
634,421,148
253,780,898
57,788,551
68,697,605
707,992,958
635,222,404
208,862,803
674,243,674
120,723,687
276,961,959
774,161,178
716,468,700
350,437,541
197,943,783
293,834,770
108,877,853
53,808,840
583,865,829
821,110,70
193,791,632
257,677,734
637,457,349
217,55,54
114,409,435
956,562,513
668,391,453
847,577,619
495,504,525
1024,9,28
582,746,894
638,653,442
602,433,370
221,167,221
79,744,653
900,191,222
263,396,421
586,384,321
567,172,153
95,948,952
1023,134,105
97,997,960
301,951,998
753,887,917
40,941,940
816,95,216
525,1025,994
999,291,418
650,755,772
344,1002,1029
225,692,715
1038,29,43
764,436,380
981,265,185
701,248,327
269,661,467
296,595,426
860,294,260
793,192,180
101,735,812
811,296,288
402,47,51
141,905,719
952,335,218
373,795,961
433,642,530
327,818,696
989,62,61
629,189,379
590,444,364
917,389,472
541,350,229
451,422,403
171,597,886
428,1004,981
828,477,500
841,179,348
632,351,502
1007,27,34
663,364,245
585,92,161
270,884,795
210,938,842
316,1005,1011
681,529,486
387,305,430
81,910,863
471,1034,1012
190,838,788
264,919,789
358,315,322
757,19,780
431,264,346
895,213,330
880,126,177
857,643,733
31,1009,1035
888,272,369
765,676,582
738,466,428
374,952,905
653,43,63
384,897,948
242,954,868
673,249,298
165,761,713
266,667,495
796,193,152
537,917,856
251,828,833
170,67,66
914,194,189
403,358,283
547,428,392
260,957,914
482,794,729
553,975,976
287,449,760
878,809,924
649,430,388
641,639,628
283,923,910
469,376,556
426,706,612
569,732,550
810,229,309
1003,344,377
697,720,515
23,871,828
155,443,904
321,901,784
630,370,462
4,557,76
496,758,962
974,254,200
333,107,79
54,266,286
1006,438,375
815,130,118
182,898,1010
508,701,906
51,1031,1023
340,747,762
890,118,207
587,217,204
687,244,198
730,132,94
401,811,852
159,899,778
39,930,738
710,188,168
906,324,413
690,322,533
274,869,763
20,743,621
717,500,489
337,734,695
980,42,39
851,613,888
684,102,127
185,530,761
476,491,211
809,459,374
725,576,524
693,446,463
238,689,507
758,219,240
1008,39,67
843,202,238
56,539,572
475,175,197
712,347,477
665,207,196
49,575,414
140,226,158
928,174,145
17,792,773
166,596,475
462,415,433
939,85,73
745,281,249
204,58,49
280,730,896
997,97,108
662,37,46
850,608,536
357,671,504
985,392,237
791,618,717
955,123,147
345,241,187
655,279,376
591,711,679
254,453,545
110,684,880
657,195,38
13,49,47
319,514,837
566,385,227
152,84,567
892,259,354
11,28,10
991,60,60
518,881,768
724,158,167
322,482,326
626,630,599
554,782,618
302,548,652
514,892,988
1017,40,87
60,813,716
169,763,728
18,815,939
694,824,702
776,473,340
427,904,957
219,488,498
584,607,636
521,626,690
339,560,724
886,650,454
1001,16,42
1042,400,6
813,218,344
998,112,56
76,934,1007
438,601,592
524,797,862
440,978,971
29,688,635
41,964,1022
971,185,202
792,24,126
875,36,31
977,355,448
406,958,901
308,908,875
859,368,242
763,623,597
666,366,332
819,610,694
113,926,985
1041,13,1043
377,343,294
542,611,512
382,10,29
52,478,65
163,31,517
205,292,295
