wdr,dissim,leven
757,193,124
774,182,236
922,110,83
2,56,595
763,270,193
715,256,191
477,317,194
945,122,72
430,329,299
909,315,259
473,62,110
227,563,402
536,394,410
656,631,601
236,183,253
837,673,760
51,499,436
465,364,438
629,507,460
200,711,545
475,614,531
97,402,482
7,739,616
479,348,304
8,289,274
571,590,696
551,653,788
226,810,754
634,336,285
518,834,711
86,782,798
441,637,744
410,468,336
775,472,753
254,764,769
102,772,640
329,678,693
493,313,318
64,537,400
578,327,242
408,768,718
397,635,649
46,742,818
267,517,385
539,618,449
563,849,808
235,592,677
537,512,324
172,218,166
892,24,29
429,209,227
913,48,303
632,165,240
98,755,835
490,310,157
595,789,629
823,534,607
45,868,813
675,580,510
15,174,364
793,47,34
510,245,204
207,831,879
638,729,636
471,362,724
695,166,310
642,400,123
334,581,548
751,195,206
77,396,329
39,774,668
581,392,528
291,895,852
476,301,219
624,194,207
943,3,10
723,347,378
73,777,812
701,427,520
162,876,891
640,656,673
895,49,19
155,585,541
341,66,31
912,566,560
470,544,407
111,471,841
577,338,248
606,734,777
392,389,362
532,268,228
463,119,77
436,689,712
867,624,559
55,377,445
68,697,770
208,676,585
928,82,118
663,489,411
918,10,147
545,492,736
585,587,664
161,524,729
500,435,330
948,25,4
195,916,888
907,96,199
794,693,676
742,73,74
270,893,900
214,647,505
21,685,437
366,699,682
540,179,314
558,398,276
186,814,906
394,910,919
564,32,5
326,85,43
112,351,356
464,726,650
306,832,825
859,239,225
75,284,369
653,786,819
776,67,159
168,215,135
285,907,910
597,743,745
159,922,882
744,223,211
556,328,250
190,703,809
331,675,501
806,354,355
294,595,587
103,710,534
800,249,220
619,117,64
322,620,632
313,84,209
233,851,830
852,90,58
765,367,371
400,360,306
713,455,397
18,642,592
887,152,68
203,457,252
142,40,750
469,462,416
104,501,456
530,828,817
921,444,372
359,701,878
513,879,857
802,133,82
474,128,131
206,274,247
482,460,425
698,140,88
41,531,789
899,265,226
230,294,368
919,41,21
74,882,864
446,912,934
734,311,267
789,81,36
699,126,177
105,756,797
69,449,576
484,459,454
886,248,280
758,446,462
668,682,822
456,104,130
138,847,844
380,612,522
878,661,567
753,445,500
516,159,184
36,4,56
531,45,28
652,717,644
372,621,642
588,473,415
677,623,648
830,737,688
796,813,731
522,485,557
504,617,615
358,196,331
939,26,25
654,146,132
209,787,772
528,418,453
772,845,787
708,263,162
514,601,554
891,340,511
570,419,428
260,539,390
279,101,109
369,559,628
603,664,618
498,172,106
819,247,549
731,210,146
665,325,388
824,407,496
180,655,569
467,553,360
283,283,279
92,872,827
332,316,223
455,842,794
38,854,894
177,326,281
727,83,90
739,51,26
170,815,652
117,298,539
938,13,63
450,556,475
743,74,37
643,300,168
425,214,346
598,309,244
282,629,653
34,860,866
587,250,126
99,490,357
541,504,572
860,716,723
108,794,758
611,230,301
325,605,401
130,918,876
694,463,609
814,260,133
47,562,575
705,748,621
376,667,661
30,930,942
816,438,524
730,450,322
167,839,755
639,886,802
232,691,680
237,859,803
746,480,497
864,262,160
53,931,937
803,379,768
5,821,831
258,467,599
185,769,765
762,683,705
897,423,544
199,608,584
517,80,161
382,917,933
153,740,630
818,514,431
672,102,284
58,662,620
196,775,713
835,861,905
451,896,885
309,798,687
311,516,412
582,484,345
368,282,190
809,187,134
379,518,404
140,913,902
614,461,563
732,428,442
825,413,478
193,805,834
24,947,944
684,334,212
81,824,651
20,68,20
163,597,467
388,442,459
60,770,861
324,796,865
438,533,470
926,411,320
304,869,849
22,948,947
355,763,685
630,663,612
703,543,443
432,114,164
189,341,264
506,749,699
512,206,154
298,508,386
799,465,608
132,924,926
328,424,343
529,835,833
681,176,205
842,267,286
523,7,254
52,771,779
788,136,116
626,145,76
141,945,932
396,175,338
225,826,791
893,95,114
604,158,145
154,838,842
406,565,627
854,12,811
778,225,342
633,505,573
645,30,22
678,730,591
507,901,877
726,339,597
44,552,508
412,807,752
834,219,189
422,853,829
286,319,493
915,380,657
851,482,379
434,766,666
754,652,683
114,801,824
549,850,880
115,510,631
861,20,17
37,15,144
335,852,897
83,932,920
881,89,101
3,113,291
717,78,51
491,843,870
487,681,703
337,622,417
527,297,251
519,862,862
152,687,633
385,55,38
76,483,499
511,421,315
445,542,555
113,940,921
862,464,448
884,35,52
72,855,850
307,551,611
292,615,550
330,790,722
486,645,670
100,881,916
502,271,221
896,303,235
876,558,424
905,366,288
265,561,535
29,929,940
494,426,481
509,569,523
613,441,239
644,88,129
413,431,419
323,335,375
524,11,309
821,229,347
689,404,433
733,37,11
