wdr,dissim,leven
6,2,1
3,7,1
4,7,1
9,7,1
13,8,1
3,9,2
7,10,5
4,10,1
3,11,1
3,11,1
3,11,2
10,11,11
4,12,1
3,12,2
4,13,1
3,13,1
3,14,2
3,14,3
4,14,1
19,14,1
4,14,1
4,15,1
3,15,1
5,15,1
4,15,3
4,15,1
3,16,1
8,16,1
3,16,5
3,17,2
4,17,1
4,17,1
3,17,18
4,18,1
3,18,1
3,18,1
4,18,1
4,18,1
4,18,1
3,18,1
4,18,1
3,18,1
4,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
4,18,1
4,18,1
4,18,1
4,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
4,18,1
4,18,2
3,18,1
4,18,1
3,18,1
4,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
4,18,1
3,18,1
3,18,2
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
16,18,1
3,18,1
4,18,1
4,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
15,18,1
3,18,1
3,18,1
4,18,1
3,18,1
10,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,3
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,2
3,18,1
4,18,1
4,18,1
3,18,2
3,18,1
3,18,1
4,18,1
4,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,2
19,18,1
3,18,16
3,18,1
3,18,1
4,18,2
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,2
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,2
3,18,1
3,18,1
8,18,1
4,18,1
4,18,2
4,18,1
3,18,1
3,18,2
3,18,1
3,18,2
3,18,2
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
5,19,1
3,19,1
4,19,1
3,19,1
3,19,1
3,19,1
3,19,1
4,19,1
3,19,1
3,19,1
3,19,2
3,19,1
3,19,1
3,19,2
3,19,1
3,19,2
3,19,1
3,19,1
3,19,1
3,19,2
4,19,1
3,19,1
4,19,2
3,19,1
3,19,2
3,19,1
3,19,2
3,19,1
3,19,1
3,19,1
3,19,1
4,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,2
3,19,2
3,19,1
3,19,1
3,19,1
4,19,1
3,19,2
3,19,2
3,19,1
3,19,2
3,19,1
3,19,1
4,19,1
4,19,2
3,19,1
3,19,2
7,19,1
3,19,2
3,19,1
3,19,1
3,19,1
4,19,2
3,19,2
4,19,1
3,19,1
4,19,2
3,19,2
4,19,2
3,19,3
3,19,2
3,19,2
3,19,2
3,19,1
3,19,2
3,19,2
3,19,1
3,19,2
3,19,2
3,19,1
3,19,1
3,19,1
4,19,1
3,19,1
3,19,2
3,19,2
4,19,2
3,19,2
4,19,1
3,19,2
4,19,2
3,19,1
4,19,3
3,19,1
3,19,2
3,19,1
3,19,1
3,19,1
3,19,2
3,19,1
3,19,1
3,19,2
3,19,2
3,19,1
3,19,2
4,19,2
3,19,1
3,19,2
4,19,2
3,19,2
3,19,2
3,19,1
3,19,1
3,19,1
3,19,2
3,19,2
3,19,1
3,19,1
3,19,2
3,19,2
3,19,1
3,19,2
3,19,2
3,19,2
3,19,2
3,19,2
4,19,1
3,19,2
3,19,1
3,19,2
3,19,1
4,19,2
3,19,1
4,19,2
4,19,1
3,19,1
3,19,1
3,19,2
3,19,1
3,19,2
4,19,1
3,19,2
3,19,1
4,19,2
4,19,1
3,19,2
3,19,2
3,19,2
3,19,2
3,19,1
3,19,2
3,19,2
3,19,2
3,19,2
4,19,2
3,19,2
3,19,2
3,19,1
3,19,1
3,19,2
3,19,2
3,19,1
3,19,1
3,19,1
3,19,1
3,19,2
3,19,2
3,19,1
3,19,2
3,19,2
4,19,1
3,19,2
3,19,1
3,19,1
3,19,2
3,19,2
3,19,2
3,19,1
3,19,2
3,19,2
3,19,2
3,19,2
3,19,1
3,19,2
3,19,1
3,19,2
