wdr,dissim,leven
14,3,1
4,18,1
3,18,1
4,18,1
3,18,1
4,18,1
4,18,1
3,18,1
3,18,1
4,16,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
4,18,1
3,18,1
4,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
4,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
4,18,1
3,16,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,7,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,17,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,17,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,17,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,17,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
3,18,1
4,18,1
3,18,1
4,18,1
3,18,1
3,17,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,18,1
4,19,1
3,18,1
3,19,1
3,18,1
3,19,1
3,19,1
3,19,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,19,1
3,19,1
3,19,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,19,1
3,19,1
3,18,1
3,18,1
3,18,1
3,19,1
3,19,1
3,18,1
3,19,1
3,19,1
3,18,1
3,19,1
3,18,1
3,18,1
3,19,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
4,19,1
3,19,1
3,18,1
3,18,1
3,18,1
3,19,1
3,18,1
3,19,1
3,19,1
3,18,1
3,18,1
3,19,1
3,18,1
3,19,1
3,19,1
3,19,1
3,18,1
3,19,1
3,19,1
3,18,1
3,18,1
3,19,1
3,18,1
3,19,1
3,18,1
3,19,1
3,18,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,18,1
3,19,1
3,18,1
3,19,1
3,19,1
3,19,1
3,18,1
3,19,1
3,19,1
3,19,1
3,18,1
3,19,1
3,18,1
3,18,1
3,19,1
3,18,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,19,1
3,18,1
3,19,1
3,19,2
3,19,2
3,19,2
3,19,2
3,19,2
3,19,2
3,18,2
3,19,2
3,19,2
3,18,2
3,19,2
3,19,2
3,19,2
3,18,2
3,19,2
