wdr,dissim,leven
0.001839794,0.094546553,0.000432775
-0.00404813,0.033455367,0.000240364
0.001791546,0.094417056,0.000879101
0.001069926,0.095192658,0.001177143
0.002238305,0.094109008,0.00095004
0.002501283,0.094416038,0.000824214
0.00190787,0.094317732,0.000787122
0.00099572,0.095216624,0.001140708
0.001728826,0.09518926,0.001098128
0.002146507,0.095967314,0.001481486
0.001996939,0.095897869,0.001423078
0.002240001,0.094355898,0.000910322
0.001123278,0.095746106,0.001653129
0.002039049,0.095427651,0.001251212
0.001314673,0.096482654,0.00199024
0.001224965,0.095028728,0.000950714
0.000994156,0.095803358,0.001720847
0.001144401,0.095505958,0.001388654
0.000379397,0.096412381,0.00194017
0.001439576,0.095261831,0.001220895
-0.001077288,0.095019214,0.000290164
0.001374116,0.096863951,0.002216397
0.002082626,0.093319982,0.000766401
0.000680074,0.095184449,0.001402933
0.001446789,0.095621343,0.00159262
0.001386543,0.096560605,0.00183816
0.001839838,0.096035047,0.001678714
0.001923032,0.094939137,0.000918397
0.001035093,0.096590238,0.002368242
0.000508771,0.095521385,0.001163569
0.001048414,0.09631927,0.001719704
0.002113304,0.095221864,0.001243613
0.003711359,0.072253618,0.000168504
0.001190837,0.09602773,0.001798076
0.002676556,0.095022414,0.00129328
0.001421463,0.095711225,0.001314851
0.000753377,0.097254227,0.00289919
0.001135424,0.09603553,0.0015866
0.001957563,0.095012403,0.001203859
0.00044177,0.097052464,0.002120803
0.001291936,0.09558433,0.001255408
0.001994391,0.095411346,0.001517667
0.000911786,0.095638228,0.001149796
0.001288841,0.096611683,0.002054018
0.000549637,0.096641949,0.002584512
0.001671164,0.093974075,0.000614367
0.001708005,0.096445117,0.002028784
0.00113304,0.096707718,0.002557617
0.000487241,0.096553483,0.0019281
0.00106917,0.095266574,0.001132222
0.003276919,0.093756016,0.00098259
-5.38E-05,0.094169619,0.000249038
0.002710371,0.094490395,0.0013559
0.000890068,0.095357979,0.001078556
0.001531216,0.095751845,0.001475866
0.001159215,0.096597635,0.002370913
0.001583464,0.095102177,0.001644941
0.001092454,0.096972292,0.00208711
0.001706828,0.096075266,0.001932844
0.000674625,0.096105713,0.001969777
0.002942879,0.09534477,0.001882222
0.001310094,0.096472096,0.002219615
0.000901725,0.09673406,0.002224262
0.002202009,0.094633155,0.000790282
0.001473832,0.092648118,0.00062206
0.000437052,0.095867502,0.001455289
0.001234363,0.096828728,0.002068171
0.002295431,0.095975005,0.001776698
0.001003709,0.095729711,0.001453163
0.000929635,0.096016123,0.00228048
0.000562891,0.093975157,0.000824123
0.001357328,0.096126138,0.001566476
0.002305936,0.093855489,0.000572571
0.00239237,0.090601142,0.000198706
0.00161045,0.095235621,0.001873611
0.001726387,0.097148216,0.002747222
0.001082123,0.096259449,0.001679769
0.002200762,0.095714995,0.001729175
0.001694614,0.095357297,0.00137592
0.069952614,0.096896086,1.78947E-05
0.000749801,0.095902305,0.00138268
0.00060033,0.096089999,0.002517541
0.000740916,0.097139712,0.002601499
0.001235862,0.097310202,0.003202008
0.000689799,0.096507402,0.001545506
0.000755256,0.094576247,0.000876744
0.002675075,0.094402338,0.000827121
0.000408187,0.096055195,0.001778471
0.001016811,0.096303282,0.00190816
-0.002971619,0.094895077,0.000237255
0.001128995,0.09717979,0.002636343
0.002340188,0.096947629,0.003567683
0.094656288,0.094041514,9.40415E-06
0.001732929,0.097377479,0.004147309
0.001016691,0.095641535,0.001655522
0.001786415,0.09441584,0.000756291
0.001428247,0.094105332,0.000897694
0.001165292,0.09579702,0.001231037
0.00061368,0.096340879,0.001751611
0.001276042,0.093880227,0.000762032
0.000616886,0.093922379,0.000729715
0.001628704,0.095576406,0.001577386
0.001740678,0.096555245,0.002093365
0.001106794,0.096736219,0.003185663
0.001582946,0.095885916,0.001290908
0.001214101,0.094168493,0.000917577
0.001277227,0.096198104,0.002023114
0.000583305,0.095974226,0.001823104
0.000940202,0.094815277,0.000946121
0.001550854,0.096502746,0.002040206
0.001114034,0.096502963,0.002181205
0.000689846,0.09497644,0.001517461
0.001973747,0.094546896,0.000789397
0.0018452,0.095260998,0.001046212
0.002315087,0.095390816,0.001100828
0.002976707,0.094222861,0.000738396
0.001571189,0.095484609,0.001158282
0.000479712,0.096912991,0.002058708
0.001348643,0.094325045,0.000936065
0.000568649,0.097068361,0.003815965
0.001053197,0.093379083,0.00092934
0.001390343,0.096050512,0.001948465
0.00079392,0.097010699,0.00228262
0.001606615,0.095735782,0.001292891
0.001514062,0.096339093,0.001769965
0.002041827,0.09389257,0.000664135
0.00154824,0.095429037,0.001329091
0.001547004,0.09629401,0.001416899
0.001849307,0.095050556,0.00089515
0.000727135,0.095801307,0.001563168
0.000667447,0.097501047,0.003912672
0.00153475,0.094737374,0.000990714
0.113898123,0.07208418,0.000129031
0.001007662,0.096276938,0.002539898
0.001125681,0.095398185,0.00137476
0.001013513,0.095283522,0.001209117
0.001476807,0.095725875,0.001511754
0.001114909,0.095893115,0.001651651
0.001033034,0.0974399,0.003472796
0.000357288,0.097465599,0.002547045
0.001299454,0.095883673,0.001511322
0.000943729,0.096320886,0.002524048
0.001287741,0.095545493,0.002326841
0.001755782,0.094891764,0.00100818
0.00131504,0.095732485,0.001308596
0.001030424,0.096657135,0.002600156
0.00102567,0.094649265,0.000838248
0.087738923,0.094101979,9.4102E-06
0.001312333,0.0964238,0.001627731
0.001828755,0.096090688,0.002165895
0.001223863,0.096101054,0.001516511
0.001368358,0.09695222,0.001115277
0.001274598,0.097462962,0.002788688
0.001477194,0.096481494,0.002108621
0.000963804,0.097299343,0.002830271
0.001085437,0.096709752,0.002515277
0.001012274,0.095978987,0.001386506
0.001523415,0.096225299,0.001776725
0.00177509,0.096736976,0.002150573
0.001913027,0.094266914,0.000783765
0.001045043,0.097063649,0.001944137
0.000719419,0.095017323,0.001046113
0.001206595,0.096137173,0.002769292
0.001026972,0.094800003,0.00096424
0.001993391,0.095802812,0.001711372
0.001217382,0.095843214,0.001324059
0.000978287,0.096023643,0.001617735
0.002142659,0.095161698,0.000892495
0.001415816,0.094614567,0.001034841
0.000587948,0.094813849,0.000755365
0.001505234,0.09453899,0.001017664
0.001857458,0.096088361,0.001762288
0.000794687,0.095974457,0.001315637
0.001570132,0.096986205,0.002384862
0.000879203,0.096534745,0.002106133
0.001307299,0.097236225,0.002735571
0.001149388,0.095875894,0.001779876
0.001203806,0.096554004,0.002210537
0.001410601,0.094677937,0.000967484
0.000978758,0.097077479,0.004225946
0.001792853,0.097277313,0.003491092
0.000983246,0.096848868,0.002558061
-0.001113348,0.093961324,0.000222228
0.047717891,0.094126984,1.60794E-05
0.001430832,0.096390032,0.001568475
0.002100932,0.095200439,0.001101866
0.000535296,0.096741538,0.001787085
0.000229228,0.095753799,0.000317021
0.001439283,0.096410969,0.002228556
