dwr,dissim,leven
-0.042783,-0.031463,-0.92273
-0.76529,-8.4523,-1.0368
-0.048703,-0.049313,-0.65819
-0.13725,0.057596,-0.48153
0.0061181,-0.091774,-0.61614
0.038388,-0.049453,-0.69072
-0.034429,-0.063003,-0.7127
-0.14636,0.0609,-0.50313
-0.0564,0.057128,-0.52837
-0.0051464,0.16437,-0.30115
-0.0235,0.1548,-0.33576
0.0063262,-0.057743,-0.63968
-0.13071,0.13388,-0.19941
-0.018332,0.089988,-0.43763
-0.10722,0.23541,0.00039922
-0.11823,0.035,-0.61574
-0.14655,0.14177,-0.15927
-0.12811,0.10078,-0.35617
-0.22199,0.22572,-0.029278
-0.091893,0.067131,-0.4556
-0.40074,0.033689,-1.0073
-0.099926,0.28797,0.13445
-0.012985,-0.20053,-0.72499
-0.18509,0.056465,-0.3477
-0.091008,0.11669,-0.23528
-0.098401,0.24615,-0.089741
-0.042778,0.17371,-0.18425
-0.032569,0.022651,-0.6349
-0.14153,0.25024,0.22445
-0.20611,0.10291,-0.48958
-0.13989,0.21289,-0.15995
-0.0092207,0.061622,-0.44214
0.18688,-3.1043,-1.0794
-0.12242,0.1727,-0.1135
0.059896,0.03413,-0.4127
-0.094116,0.12908,-0.39991
-0.1761,0.34176,0.53914
-0.12922,0.17378,-0.23884
-0.028332,0.03275,-0.4657
-0.21433,0.31395,0.077786
-0.11001,0.11158,-0.43514
-0.023812,0.08774,-0.2797
-0.15666,0.11901,-0.49774
-0.11039,0.25319,0.038201
-0.2011,0.25737,0.35263
-0.063475,-0.11037,-0.8151
-0.058955,0.23023,0.023245
-0.12951,0.26643,0.33669
-0.20875,0.24517,-0.036432
-0.13735,0.067785,-0.50816
0.13357,-0.14043,-0.59685
-0.27514,-0.083419,-1.0316
0.064045,-0.039204,-0.37558
-0.15932,0.080384,-0.53997
-0.080648,0.13467,-0.30448
-0.1263,0.25126,0.22603
-0.074237,0.045124,-0.20426
-0.13449,0.3029,0.057815
-0.059099,0.17925,-0.03362
-0.18576,0.18345,-0.01173
0.092576,0.078563,-0.063624
-0.10778,0.23395,0.13635
-0.15789,0.27006,0.13911
0.0016642,-0.019526,-0.71083
-0.08769,-0.29314,-0.81054
-0.21491,0.15062,-0.31667
-0.11707,0.28311,0.04659
0.013128,0.16543,-0.12617
-0.14538,0.13162,-0.31793
-0.15447,0.1711,0.17243
-0.19947,-0.11022,-0.69077
-0.10199,0.18627,-0.25077
0.014417,-0.12672,-0.83987
0.025023,-0.5753,-1.0615
-0.070926,0.063518,-0.068728
-0.056699,0.32715,0.44907
-0.13576,0.20464,-0.18362
0.0015112,0.12959,-0.15434
-0.060598,0.08029,-0.36372
8.3153,0.2924,-1.1686
-0.17654,0.15541,-0.35971
-0.19488,0.18129,0.31294
-0.17763,0.32598,0.3627
-0.11689,0.34948,0.71863
-0.1839,0.23882,-0.2632
-0.17587,-0.02737,-0.65958
0.059714,-0.051341,-0.689
-0.21845,0.17649,-0.12512
-0.14377,0.21068,-0.048251
-0.63319,0.016578,-1.0386
-0.13,0.3315,0.38335
0.01862,0.2995,0.93537
11.347,-0.10108,-1.1737
-0.055896,0.35875,1.2789
-0.14379,0.11947,-0.19799
-0.049333,-0.04948,-0.73098
-0.093284,-0.092281,-0.64717
-0.12555,0.1409,-0.44959
-0.19324,0.21587,-0.14104
-0.11196,-0.12331,-0.72757
-0.19285,-0.1175,-0.74673
-0.068686,0.11049,-0.2443
-0.054945,0.24541,0.061523
-0.13273,0.27036,0.70894
-0.074301,0.15315,-0.4141
-0.11956,-0.083575,-0.63538
-0.11182,0.19619,0.019884
-0.19697,0.16533,-0.098665
-0.15317,0.005578,-0.61846
-0.078239,0.23818,0.030015
-0.13184,0.23821,0.11359
-0.18389,0.027793,-0.27982
-0.026346,-0.031415,-0.71136
-0.04212,0.067016,-0.55914
0.01554,0.08491,-0.52677
0.096727,-0.07608,-0.74158
-0.075743,0.097839,-0.49271
-0.20968,0.29473,0.040981
-0.10305,-0.061995,-0.62442
-0.19876,0.31614,1.0825
-0.13931,-0.19239,-0.62841
-0.097935,0.17584,-0.024362
-0.17112,0.30819,0.1737
-0.071396,0.13246,-0.41293
-0.082753,0.21562,-0.13016
-0.017992,-0.12161,-0.7856
-0.078559,0.090179,-0.39147
-0.078711,0.20941,-0.33943
-0.041616,0.038009,-0.64867
-0.17932,0.14149,-0.25273
-0.18664,0.37578,1.1398
-0.080215,-0.00516,-0.59203
13.708,-3.1277,-1.1028
-0.14489,0.20705,0.32619
-0.13041,0.085926,-0.3644
-0.14418,0.070121,-0.46258
-0.087325,0.13109,-0.28321
-0.13173,0.15415,-0.20029
-0.14178,0.36736,0.87913
-0.2247,0.3709,0.33042
-0.10909,0.15285,-0.28346
-0.15274,0.21311,0.31679
-0.11052,0.10623,0.19991
